Id,Name,Rating,Review Count,Price,Style,Neighborhood,Address,Phone Number,Link
127,Yuji’s From Japan,4.5,28,$$,Sushi Bars#Japanese#Tapas/Small Plates,Point Grey,"2083 Alma Street#Vancouver, BC V6R 4N6#Canada",(604) 428-4688,/biz/yujis-from-japan-vancouver?osq=Restaurants
128,Kessel&amp;March,4.5,44,$$,Modern European,Grandview-Woodlands,"1701 Powell Street#Vancouver, BC V5L 5C9#Canada",(604) 874-1196,/biz/kessel-and-march-vancouver?osq=Restaurants
129,Burgoo Bistro,4.0,145,$$,Comfort Food#Bistros,Kitsilano,"2272 W 4th Avenue#Vancouver, BC V6K 1P2#Canada",(604) 734-3478,/biz/burgoo-bistro-vancouver-3?osq=Restaurants
130,Bestie,4.0,164,$$,German#Specialty Food,Chinatown,"105 E Pender Street#Vancouver, BC V6A 1T5#Canada",(604) 620-1175,/biz/bestie-vancouver?osq=Restaurants
131,Nabebugyo,4.0,31,$$,Japanese#Hot Pot#Noodles,"Fairview Slopes, South Cambie, Riley Park","3190 Cambie Street#Vancouver, BC V5Z 2W2#Canada",(604) 710-5039,/biz/nabebugyo-vancouver-6?osq=Restaurants
132,Caffè Mangia,5.0,11,$$,Pizza#Sandwiches#Italian,Mount Pleasant,"2211 Manitoba Street#Vancouver, BC V5Y 3A3#Canada",(778) 379-4000,/biz/caff%C3%A8-mangia-vancouver-2?osq=Restaurants
133,Pholicious,4.5,57,$,Vietnamese#Noodles,Downtown,"550 W Hastings#Vancouver, BC V6B 1L6#Canada",(778) 379-3322,/biz/pholicious-vancouver-2?osq=Restaurants
134,Krung Thep Thai Cuisine,4.0,48,$$,Thai,"Downtown, Granville Entertainment District","809 Seymour Street#Vancouver, BC V6B 3L4#Canada",(778) 379-6488,/biz/krung-thep-thai-cuisine-vancouver?osq=Restaurants
135,La Brasserie,4.0,193,$$,French#German,West End,"1091 Davie Street#Vancouver, BC V6E 1M5#Canada",(778) 379-5400,/biz/la-brasserie-vancouver?osq=Restaurants
136,ARC Restaurant,4.0,58,$$$,Canadian (New)#Cocktail Bars,Downtown,"900 Canada Place Way#Vancouver, BC V6C 3L5#Canada",(604) 691-1818,/biz/arc-restaurant-vancouver?osq=Restaurants
137,Mr. Red Cafe,4.0,40,$$,Vietnamese,Kitsilano,"2680 W Broadway#Vancouver, BC V6K 2G3#Canada",(604) 559-6878,/biz/mr-red-cafe-vancouver-3?osq=Restaurants
138,Ramen Danbo,4.0,135,$$,Ramen#Noodles,Kitsilano,"1833 W 4th Avenue#Vancouver, BC V6J 1M4#Canada",(778) 379-8977,/biz/ramen-danbo-vancouver-3?osq=Restaurants
139,Cafe Mai-Mai,4.5,69,$,Vietnamese#Coffee & Tea#Noodles,Marpole,"8636 Granville Street#Vancouver, BC V6P 5A1#Canada",(604) 428-4191,/biz/cafe-mai-mai-vancouver?osq=Restaurants
140,Caveman Cafe,4.5,69,$,Organic Stores#Salad#Cafes,Downtown,"88 W Pender Street#Vancouver, BC V6B 6N8#Canada",(604) 780-6650,/biz/caveman-cafe-vancouver?osq=Restaurants
141,Sofra Mediterranean Kitchen,4.0,51,$$,Mediterranean,"Kerrisdale, Arbutus Ridge","2277 W 41st Avenue#Vancouver, BC V6M 2A3#Canada",(604) 558-3287,/biz/sofra-mediterranean-kitchen-vancouver-3?osq=Restaurants
142,La Mezcaleria,4.0,27,$$,Mexican,"Downtown, Gastown","68 E Cordova Street#Vancouver, BC V6A 4G8#Canada",(604) 559-8226,/biz/la-mezcaleria-vancouver-4?osq=Restaurants
143,Les Faux Bourgeois,4.0,305,$$,French#Cafes,Mount Pleasant,"663 E 15th Avenue#Vancouver, BC V5T 2R6#Canada",(604) 873-9733,/biz/les-faux-bourgeois-vancouver?osq=Restaurants
144,Tacofino Yaletown,4.0,48,$$,Mexican,"Downtown, Yaletown","1025 Mainland Street#Vancouver, BC V6B 5P9#Canada",(778) 379-8226,/biz/tacofino-yaletown-vancouver?osq=Restaurants
145,Birds &amp; the Beets,4.0,73,$$,Breakfast & Brunch,"Downtown, Gastown","55 Powell Street#Vancouver, BC V6A#Canada",(604) 893-7832,/biz/birds-and-the-beets-vancouver?osq=Restaurants
146,Jules French Bistro,4.0,136,$$,French,"Downtown, Gastown","216 Abbott Street#Vancouver, BC V6B 2K8#Canada",(604) 669-0033,/biz/jules-french-bistro-vancouver?osq=Restaurants
147,Jackalope’s Neighbourhood Dive,4.5,72,$$,Dive Bars#Breakfast & Brunch#Soul Food,Grandview-Woodlands,"2257 E Hastings Street#Vancouver, BC V5L 1V3#Canada",(604) 568-6674,/biz/jackalopes-neighbourhood-dive-vancouver?osq=Restaurants
148,Meet on Main,4.0,247,$$,Comfort Food#Vegetarian#Gluten-Free,Riley Park,"4288 Main Street#Vancouver, BC V5V 3P9#Canada",(604) 696-1010,/biz/meet-on-main-vancouver?osq=Restaurants
149,Gyu-Kaku Japanese BBQ,4.0,93,$$,Barbeque#Japanese,Fairview Slopes,"#201-950 W. Broadway#Vancouver, BC V5Z 1K7#Canada",(604) 558-3898,/biz/gyu-kaku-japanese-bbq-vancouver-3?osq=Restaurants
150,Laksa King,3.5,122,$,Tea Rooms#Burmese#Malaysian,Hastings-Sunrise,"2546 E Hastings Street#Vancouver, BC V5K 1Z3#Canada",(604) 428-0155,/biz/laksa-king-vancouver-2?osq=Restaurants
151,Meat &amp; Bread,4.0,614,$$,Sandwiches,Downtown,"370 Cambie Street#Vancouver, BC V6B 1H7#Canada",(604) 566-9003,/biz/meat-and-bread-vancouver?osq=Restaurants
152,Basil Garden Pho,4.0,57,$$,Vietnamese,Hastings-Sunrise,"2889 E Broadway#Vancouver, BC V5M 1Y9#Canada",(604) 871-9998,/biz/basil-garden-pho-vancouver?osq=Restaurants
153,Meat &amp; Bread,4.0,142,$,Sandwiches,"Coal Harbour, Downtown","1033 W Pender Street#Vancouver, BC V6E 2M6#Canada",,/biz/meat-and-bread-vancouver-2?osq=Restaurants
154,Osteria Savio Volpe,4.0,148,$$$,Italian,Mount Pleasant,"615 Kingsway#Vancouver, BC V5T 3K5#Canada",(604) 428-0072,/biz/osteria-savio-volpe-vancouver?osq=Restaurants
155,Bauhaus Restaurant,4.0,110,$$$,German#Modern European,"Downtown, Gastown","1st W Cordova Street#Vancouver, BC V6B 2J2#Canada",(604) 974-1147,/biz/bauhaus-restaurant-vancouver?osq=Restaurants
156,Shizen Ya,4.0,413,$$,Japanese#Sushi Bars#Bars,Downtown,"965 Hornby Street#Vancouver, BC V6Z 1V3#Canada",(604) 568-0013,/biz/shizen-ya-vancouver?osq=Restaurants
157,Cacao,4.0,16,$$$,Latin American,Kitsilano,"1898 W 1st Avenue#Vancouver, BC V6J 1G5#Canada",(604) 731-5370,/biz/cacao-vancouver-2?osq=Restaurants
158,Kin Kao Thai Kitchen,4.0,82,$$,Thai,"Grandview-Woodlands, The Drive","903 Commercial Drive#Vancouver, BC V5L#Canada",(604) 558-1125,/biz/kin-kao-thai-kitchen-vancouver-2?osq=Restaurants
159,Motomachi Shokudo,4.0,312,$$,Ramen#Noodles,West End,"740 Denman Street#Vancouver, BC V6G 2L5#Canada",(604) 609-0310,/biz/motomachi-shokudo-vancouver?osq=Restaurants
160,The Holy Crab,3.5,104,$$,Seafood,West End,"1588 Robson Street#Vancouver, BC V6G 2G5#Canada",(604) 661-8533,/biz/the-holy-crab-vancouver?osq=Restaurants
161,Argo Café,4.0,61,$,French#Asian Fusion#Canadian (New),Mount Pleasant,"1836 Ontario Street#Vancouver, BC V5T 2W6#Canada",(604) 876-3620,/biz/argo-caf%C3%A9-vancouver-2?osq=Restaurants
162,Klaus’s Kaffee Haus,4.5,17,$,Desserts#Austrian#Cafes,Chinatown,"291 East Pender Street#Vancouver, BC V6A 1T8#Canada",(778) 379-6735,/biz/klauss-kaffee-haus-vancouver-2?osq=Restaurants
163,Minami,4.0,423,$$$,Japanese#Sushi Bars,"Downtown, Yaletown","1118 Mainland Street#Vancouver, BC V6B 2T9#Canada",(604) 685-8080,/biz/minami-vancouver?osq=Restaurants
164,Zakkushi on Denman,4.0,116,$$,Japanese,West End,"823 Denman St#Vancouver, BC V6G 2L7#Canada",(604) 685-1136,/biz/zakkushi-on-denman-vancouver?osq=Restaurants
165,Rodney’s Oyster House,4.0,519,$$,Seafood#Live/Raw Food,"Downtown, Yaletown","1228 Hamilton Street#Vancouver, BC V6B 6L2#Canada",(604) 609-0080,/biz/rodneys-oyster-house-vancouver?osq=Restaurants
166,Japanese Bistro Hatzu,4.0,118,$$,Sushi Bars#Japanese#Tapas/Small Plates,West End,"1175 Davie Street#Vancouver, BC V6E 1N1#Canada",(604) 559-7707,/biz/japanese-bistro-hatzu-vancouver-2?osq=Restaurants
167,Cuchillo,4.0,190,$$,Latin American,Downtown Eastside,"261 Powell Street#Vancouver, BC V6A 2Z1#Canada",(604) 559-7585,/biz/cuchillo-vancouver?osq=Restaurants
168,Bangkok City Cafe,4.5,88,$$,Thai,Kitsilano,"2953 W 4th Avenue#Vancouver, BC V6K 1R3#Canada",(604) 736-5474,/biz/bangkok-city-cafe-vancouver?osq=Restaurants
169,Shishinori,3.5,115,$$,Japanese,Mount Pleasant,"2328 Cambie Street#Vancouver, BC V5Z 2T8#Canada",(604) 559-8166,/biz/shishinori-vancouver?osq=Restaurants
170,Simba’s Grill,4.5,105,$$,African,West End,"825 Denman Street#Vancouver, BC V6G 2L7#Canada",(604) 974-0649,/biz/simbas-grill-vancouver?osq=Restaurants
171,Raisu,3.5,54,$$,Japanese#Sushi Bars#Vegan,Kitsilano,"2340 W 4th Avenue#Vancouver, BC V6K 1P1#Canada",(604) 620-1564,/biz/raisu-vancouver?osq=Restaurants
172,Nero Belgian Waffle Bar,4.0,428,$$,Coffee & Tea#Waffles,West End,"1703 Robson Street#Vancouver, BC V6G 1C9#Canada",(604) 839-1239,/biz/nero-belgian-waffle-bar-vancouver-2?osq=Restaurants
173,La Belle Patate,4.0,386,$,Fast Food#Poutineries,West End,"1215 Davie Street#Vancouver, BC V6E 1N4#Canada",(604) 569-1215,/biz/la-belle-patate-vancouver?osq=Restaurants
174,The Sardine Can,4.0,87,$$,Tapas Bars#Spanish,"Downtown, Gastown","26 Powell Street#Vancouver, BC V6A 1E7#Canada",(604) 568-1350,/biz/the-sardine-can-vancouver?osq=Restaurants
175,O! Taho,4.5,16,$$,Filipino,"Riley Park, Kensington-Cedar Cottage","4223 Fraser Street#Vancouver, BC V5V 4G2#Canada",(604) 720-9604,/biz/o-taho-vancouver?osq=Restaurants
176,Five Sails Restaurant,4.5,91,$$$$,French,Downtown,"999 Canada Place#Vancouver, BC V6C 3E1#Canada",(604) 844-2855,/biz/five-sails-restaurant-vancouver?osq=Restaurants
177,Elements Diner,4.0,19,$$,Asian Fusion#Coffee & Tea,"Downtown, Yaletown","910 Beatty Street#Vancouver, BC V6B 1M7#Canada",(604) 558-1899,/biz/elements-diner-vancouver-4?osq=Restaurants
178,Kinome Japanese Kitchen,4.0,28,$$,Japanese,Kitsilano,"2511 W Broadway#Vancouver, BC V6K#Canada",(778) 379-1925,/biz/kinome-japanese-kitchen-vancouver?osq=Restaurants
179,Sushi Coen,4.5,71,$$,Japanese,Downtown,"1306 Burrard Street#Vancouver, BC V6Z 2B7#Canada",(778) 379-1523,/biz/sushi-coen-vancouver?osq=Restaurants
180,Marutama Ramen,4.0,340,$$,Ramen#Noodles,West End,"780 Bidwell Street#Vancouver, BC V6G 2J6#Canada",(604) 688-8837,/biz/marutama-ramen-vancouver?osq=Restaurants
181,Cioppino’s Mediterranean Grill,4.0,122,$$$$,Mediterranean#Italian,"Downtown, Yaletown","1133 Hamilton Street#Vancouver, BC V6B 5P6#Canada",(604) 688-7466,/biz/cioppinos-mediterranean-grill-vancouver-3?osq=Restaurants
182,Whiskey Six BBQ,4.5,14,$$,Barbeque#Cocktail Bars,Hastings-Sunrise,"826 Renfrew Street#Vancouver, BC V5K 4B6#Canada",(604) 428-4050,/biz/whiskey-six-bbq-vancouver-7?osq=Restaurants
183,The Red Wagon,4.0,411,$$,Diners#Breakfast & Brunch,Grandview-Woodlands,"2296 E Hastings Street#Vancouver, BC V5L 1V4#Canada",(604) 568-4565,/biz/the-red-wagon-vancouver?osq=Restaurants
184,PuntoPasta,4.0,17,$$,Italian,West End,"1795 Robson Street#Vancouver, BC V6G 1C9#Canada",(604) 559-0300,/biz/puntopasta-vancouver?osq=Restaurants
185,Maenam,3.5,225,$$,Thai,Kitsilano,"1938 W 4th Avenue#Vancouver, BC V6J 1M5#Canada",(604) 730-5579,/biz/maenam-vancouver?osq=Restaurants
186,Sushi Hub,4.5,56,$$,Sushi Bars#Japanese,Riley Park,"4855 Main Street#Vancouver, BC V5V 3R9#Canada",(604) 336-4855,/biz/sushi-hub-vancouver?osq=Restaurants
187,Crab Park Chowdery,3.5,43,$,Seafood#Soup#Sandwiches,"Downtown, Gastown","221 Abbott Street#Vancouver, BC V6B 2K8#Canada",(604) 565-2722,/biz/crab-park-chowdery-vancouver?osq=Restaurants
188,The Mexican Antojitos Y Cantina,4.5,231,$$,Mexican,"Downtown, Granville Entertainment District","1049 Granville Street#Vancouver, BC V6Z 1L4#Canada",(604) 569-0955,/biz/the-mexican-antojitos-y-cantina-vancouver?osq=Restaurants
189,Basil Pasta Bar,4.0,63,$,Italian,Kitsilano,"1602 Yew Street#Vancouver, BC V6K 3E7#Canada",(778) 379-0566,/biz/basil-pasta-bar-vancouver-3?osq=Restaurants
190,Bali Thai,4.5,43,$,Indonesian,Downtown,"88 W Pender Street#Vancouver, BC V6B 1R3#Canada",(604) 291-7990,/biz/bali-thai-vancouver-2?osq=Restaurants
191,Kosoo Restaurant,4.0,68,$$,Korean#Asian Fusion,West End,"832 Cardero Street#Vancouver, BC V6G 2G5#Canada",(604) 563-5556,/biz/kosoo-restaurant-vancouver?osq=Restaurants
192,The Cascade Room,4.0,171,$$,Pubs#Canadian (New)#Cocktail Bars,Mount Pleasant,"2616 Main Street#Vancouver, BC V5T 3E6#Canada",(604) 709-8650,/biz/the-cascade-room-vancouver?osq=Restaurants
193,Bogart’s Bar and Restaurant,4.0,48,$$,Cocktail Bars#Gastropubs#Beer Bar,Downtown,"121 Robson Street#Vancouver, BC V6B 2A8#Canada",(604) 336-3578,/biz/bogarts-bar-and-restaurant-vancouver?osq=Restaurants
194,Tamam: Fine Palestinian Cuisine,4.5,96,$$,Middle Eastern,Hastings-Sunrise,"2616 E Hastings Street#Vancouver, BC V5K 1Z6#Canada",(604) 620-7078,/biz/tamam-fine-palestinian-cuisine-vancouver?osq=Restaurants
195,The Tuck Shoppe,4.5,19,$$,Bars#Sandwiches#Salad,Strathcona,"237 Union Street#Vancouver, BC V6A 4C3#Canada",(604) 620-6773,/biz/the-tuck-shoppe-vancouver?osq=Restaurants
196,Gyu-Kaku Japanese BBQ,4.0,238,$$,Japanese#Barbeque,Downtown,"G3-888 Nelson Street#Vancouver, BC V6Z 2H1#Canada",(604) 558-3885,/biz/gyu-kaku-japanese-bbq-vancouver-4?osq=Restaurants
197,Damso,4.0,103,$$,Korean,West End,"867 Denman Street#Vancouver, BC V6G 2L9#Canada",(604) 632-0022,/biz/damso-vancouver?osq=Restaurants
198,Juniper,4.0,52,$$$,Canadian (New)#Cocktail Bars,Chinatown,"185 Keefer Street#Vancouver, BC V6A 1X3#Canada",(604) 681-1695,/biz/juniper-vancouver?osq=Restaurants
199,Kyzock,4.0,158,$,Sushi Bars#Japanese,Downtown,"559 W Pender Street#Vancouver, BC V6B 1V5#Canada",(604) 605-1625,/biz/kyzock-vancouver?osq=Restaurants
200,Oyster Express,4.5,126,$$,Seafood#Bars,"Chinatown, Strathcona","296 Keefer Street#Vancouver, BC V6A 1X5#Canada",(604) 684-3300,/biz/oyster-express-vancouver?osq=Restaurants
201,The Flying Pig,3.5,105,$$,Canadian (New),Mount Pleasant,"127 W 2nd Avenue#Vancouver, BC V5T 1B4#Canada",(604) 569-1111,/biz/the-flying-pig-vancouver-4?osq=Restaurants
202,Red Ginger Asian Cuisine,4.0,107,$$,Asian Fusion,Fairview Slopes,"967 W Broadway#Vancouver, BC V5Z 1K3#Canada",(604) 558-0888,/biz/red-ginger-asian-cuisine-vancouver?osq=Restaurants
203,Mamie Taylor’s,4.0,73,$$,American (Traditional),"Chinatown, Strathcona","251 E Georgia Street#Vancouver, BC V6A 1Z6#Canada",(604) 620-8818,/biz/mamie-taylors-vancouver?osq=Restaurants
204,Carthage Café,4.0,56,$$,French#Mediterranean#African,"Grandview-Woodlands, The Drive","1851 Commercial Drive#Vancouver, BC V5N 4A6#Canada",(604) 215-0661,/biz/carthage-caf%C3%A9-vancouver-3?osq=Restaurants
205,Revel Room,4.0,195,$$,Lounges#Southern#Music Venues,"Downtown, Gastown","238 Abbott Street#Vancouver, BC V6B 2K8#Canada",(604) 687-4088,/biz/revel-room-vancouver?osq=Restaurants
206,CinCin Ristorante + Bar,4.0,255,$$$,Italian#Bars,West End,"1154 Robson Street#Vancouver, BC V6E 1B2#Canada",(604) 688-7338,/biz/cincin-ristorante-bar-vancouver-3?osq=Restaurants
207,Lobsters Only Seafood,4.5,13,$$,Seafood,Mount Pleasant,"416 Broadway E#Vancouver, BC V5T 1X2#Canada",(604) 873-6820,/biz/lobsters-only-seafood-vancouver-3?osq=Restaurants
208,Nammos Estiatorio,3.5,22,$$,Tapas/Small Plates#Greek#Breakfast & Brunch,"Riley Park, Kensington-Cedar Cottage","3980 Fraser Street#Vancouver, BC V5V 4E4#Canada",(604) 428-6850,/biz/nammos-estiatorio-vancouver?osq=Restaurants
209,Yah Yah Ya Ramen,4.0,41,$$,Ramen,Downtown,"570 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 620-1331,/biz/yah-yah-ya-ramen-vancouver?osq=Restaurants
210,Toshi Sushi,4.5,317,$$,Sushi Bars#Japanese,"Mount Pleasant, Riley Park","181 E 16th Avenue#Vancouver, BC V5T 4R2#Canada",(604) 874-5173,/biz/toshi-sushi-vancouver?osq=Restaurants
211,The Hoke Poke,4.0,17,$$,Live/Raw Food#Seafood#Hawaiian,Kitsilano,"1834 W 4th Avenue#Vancouver, BC V6J 1M3#Canada",(604) 564-8885,/biz/the-hoke-poke-vancouver?osq=Restaurants
212,Acacia Fillo Bar,4.5,126,$$,Breakfast & Brunch#Modern European,West End,"1103 Denman Street#Vancouver, BC V6G 2M7#Canada",(604) 633-3884,/biz/acacia-fillo-bar-vancouver?osq=Restaurants
213,Yama Cafe,4.0,19,$,Cafes#Japanese#Gluten-Free,Grandview-Woodlands,"2007 East Hastings Street#Vancouver, BC V5L 1T9#Canada",(604) 428-6276,/biz/yama-cafe-vancouver?osq=Restaurants
214,Seasons In the Park,4.0,314,$$$,Seafood,Riley Park,"Cambie Street W 33rd Avenue#Vancouver, BC V5Y 2M5#Canada",(604) 874-8008,/biz/seasons-in-the-park-vancouver?osq=Restaurants
215,Bin 941,4.0,178,$$$,Tapas Bars#Cocktail Bars#Wine Bars,Downtown,"941 Davie Street#Vancouver, BC V6Z 1B9#Canada",(604) 683-1246,/biz/bin-941-vancouver?osq=Restaurants
216,Harambe Restaurant,4.0,83,$$,Ethiopian#African,"Grandview-Woodlands, The Drive","2149 Commercial Drive#Vancouver, BC V5N 4B3#Canada",(604) 216-1060,/biz/harambe-restaurant-vancouver?osq=Restaurants
217,The Templeton,4.0,393,$$,Diners#Breakfast & Brunch,"Downtown, Granville Entertainment District","1087 Granville Street#Vancouver, BC V6Z 1L4#Canada",(604) 685-4612,/biz/the-templeton-vancouver?osq=Restaurants
218,Tony’s Fish and Chips,3.5,145,$$,Seafood#Fish & Chips,Granville Island/False Creek,"1511 Anderson Street#Vancouver, BC V6H 3R5#Canada",(604) 683-7127,/biz/tonys-fish-and-chips-vancouver?osq=Restaurants
219,Bon Crepe,4.5,104,$,Creperies,West End,"1238 Robson Street#Vancouver, BC V6E 3Z6#Canada",(778) 822-4023,/biz/bon-crepe-vancouver?osq=Restaurants
220,To Dine For Eatery,4.0,46,$$,Burgers#Coffee & Tea#Breakfast & Brunch,Strathcona,"333 Terminal Avenue#Vancouver, BC V6A 4C1#Canada",(604) 568-7106,/biz/to-dine-for-eatery-vancouver?osq=Restaurants
221,Goldstone Bakery And Restaurant,4.0,63,$,Bakeries#Chinese,Chinatown,"139 Keefer Street#Vancouver, BC V6A#Canada",(604) 688-9328,/biz/goldstone-bakery-and-restaurant-vancouver?osq=Restaurants
222,Tacofino Commissary,4.0,220,$$,Mexican,Grandview-Woodlands,"2327 E Hastings Street#Vancouver, BC V5L 1V6#Canada",(604) 253-8226,/biz/tacofino-commissary-vancouver?osq=Restaurants
223,Westcoast Darts Cafe,4.5,44,$,Desserts#Cafes,Killarney,"3608 Kingsway#Vancouver, BC V5R 5M2#Canada",(778) 379-9901,/biz/westcoast-darts-cafe-vancouver?osq=Restaurants
224,Mui Ngo Gai,4.0,130,$,Vietnamese#Noodles,Kensington-Cedar Cottage,"2052 Kingsway#Vancouver, BC V5N 2T3#Canada",(604) 876-8885,/biz/mui-ngo-gai-vancouver-2?osq=Restaurants
225,Tour De Feast,4.5,174,$$,French#Breakfast & Brunch,Null,"319 Mountain Highway#North Vancouver, BC V7J 2K7#Canada",(604) 980-1811,/biz/tour-de-feast-north-vancouver-2?osq=Restaurants
226,Giardino,4.0,60,$$$,Italian,Downtown,"1328 Hornby Street#Vancouver, BC V6Z 1W5#Canada",(604) 669-2422,/biz/giardino-vancouver-2?osq=Restaurants
227,Biercraft Tap &amp; Tapas,4.0,122,$$,Belgian#Tapas Bars,"Grandview-Woodlands, The Drive","1191 Commercial Drive#Vancouver, BC V5L 3X2#Canada",(604) 254-2437,/biz/biercraft-tap-and-tapas-vancouver?osq=Restaurants
228,Kuma Japanese Restaurant,4.0,31,$$,Japanese#Sushi Bars,Dunbar-Southlands,"3446 Dunbar Street#Vancouver, BC V6S 2C3#Canada",(604) 739-0170,/biz/kuma-japanese-restaurant-vancouver?osq=Restaurants
229,Corduroy Pie Company,4.5,47,$$,Pizza,"Fairview Slopes, South Cambie","758 W 16th Avenue#Vancouver, BC V5Z 1S7#Canada",(604) 709-0200,/biz/corduroy-pie-company-vancouver?osq=Restaurants
230,Yu Xiang Yuan,4.0,55,$$,Chinese#Noodles,Sunset,"6591 Fraser Street#Vancouver, BC V5X 1B3#Canada",(604) 620-1856,/biz/yu-xiang-yuan-vancouver?osq=Restaurants
231,Bodega On Main,3.5,55,$$,Spanish#Tapas/Small Plates#Tapas Bars,"Downtown, Strathcona","1014 Main Street#Vancouver, BC V6A 2W1#Canada",(604) 565-8815,/biz/bodega-on-main-vancouver?osq=Restaurants
232,Ukrainian Village,4.0,107,$$,Ukrainian,West End,"815 Denman Street#Vancouver, BC V6G 2L7#Canada",(604) 687-7440,/biz/ukrainian-village-vancouver?osq=Restaurants
233,Crackle Creme,4.0,150,$,Desserts#Coffee & Tea#Cafes,Strathcona,"245 Union Street#Vancouver, BC V6A 3A1#Canada",(778) 847-8533,/biz/crackle-creme-vancouver-2?osq=Restaurants
234,Le Petit Belge,4.0,165,$$,Bakeries#Breakfast & Brunch#Belgian,Downtown,"340 Robson Street#Vancouver, BC V6B 2B2#Canada",(778) 791-3444,/biz/le-petit-belge-vancouver?osq=Restaurants
235,Baoguette Vietnamese Bistro,4.0,109,$,Vietnamese#Sandwiches,West End,"104 1184 Denman St#Vancouver, BC V6G 1Z1#Canada",(604) 563-2468,/biz/baoguette-vietnamese-bistro-vancouver-2?osq=Restaurants
236,ZAC.ZAC Japanese Curry House,4.0,55,$,Japanese#Fast Food,Downtown,"590 Robson Street#Vancouver, BC V6B 2B7#Canada",(604) 608-2887,/biz/zac-zac-japanese-curry-house-vancouver?osq=Restaurants
237,Mott 32,4.0,27,$$$$,Chinese,Downtown,"1161 W Georgia Street#Vancouver, BC V6E 0C6#Canada",(604) 979-8886,/biz/mott-32-vancouver-2?osq=Restaurants
238,Sura Korean Cuisine,4.0,225,$$,Korean,West End,"1518 Robson Street#Vancouver, BC V6G 1C2#Canada",(604) 687-7872,/biz/sura-korean-cuisine-vancouver?osq=Restaurants
239,Masa Japanese Restaurant,4.0,64,$$,Japanese#Sushi Bars,"Fairview Slopes, South Granville","1418 W Broadway#Vancouver, BC V6H 1H4#Canada",(604) 732-0112,/biz/masa-japanese-restaurant-vancouver-2?osq=Restaurants
240,Bishop’s Restaurant,4.5,83,$$$$,Canadian (New),Kitsilano,"2183 W 4th Avenue#Vancouver, BC V6K 1N7#Canada",(604) 738-2025,/biz/bishops-restaurant-vancouver?osq=Restaurants
241,The Greek By Anatoli,4.0,95,$$,Greek,"Downtown, Yaletown","1043 Mainland Street#Vancouver, BC V6B#Canada",(604) 979-0700,/biz/the-greek-by-anatoli-vancouver?osq=Restaurants
242,Vij’s Restaurant,4.0,124,$$$,Indian,Mount Pleasant,"3106 Cambie Street#Vancouver, BC V5Z 2W2#Canada",(604) 736-6664,/biz/vijs-restaurant-vancouver-2?osq=Restaurants
243,Via Tevere Pizzeria,4.0,209,$$,Italian#Pizza#Desserts,"Grandview-Woodlands, The Drive","1190 Victoria Drive#Vancouver, BC V5L 4G5#Canada",(604) 336-1803,/biz/via-tevere-pizzeria-vancouver?osq=Restaurants
244,Dish,4.0,64,$,Sandwiches#Breakfast & Brunch#Juice Bars & Smoothies,West End,"1068 Davie Street#Vancouver, BC V6E 1M3#Canada",(604) 689-0208,/biz/dish-vancouver?osq=Restaurants
245,Shiro,4.0,177,$$,Japanese#Sushi Bars,Fairview Slopes,"3096 Cambie Street#Vancouver, BC V5Z 2V9#Canada",(604) 874-0027,/biz/shiro-vancouver-2?osq=Restaurants
246,YEW Seafood + Bar,4.0,369,$$$,Seafood#Wine Bars#Salad,Downtown,"791 W Georgia Street#Vancouver, BC V6C 2T4#Canada",(604) 692-4939,/biz/yew-seafood-bar-vancouver?osq=Restaurants
247,Bai Bua Thai Cuisine,4.0,64,$$,Thai,Hastings-Sunrise,"2443 E Hastings Street#Vancouver, BC V5C 0C2#Canada",(778) 379-9699,/biz/bai-bua-thai-cuisine-vancouver?osq=Restaurants
248,Banana Leaf,3.5,153,$$,Malaysian#Singaporean,West End,"1043 Davie St#Vancouver, BC V6E 1N2#Canada",(604) 669-3389,/biz/banana-leaf-vancouver-9?osq=Restaurants
249,Bao Down Gastropub + Raw bar,3.0,107,$$,Thai#Filipino#Asian Fusion,Mount Pleasant,"115 2nd Avenue W#Vancouver, BC V5Y 1B8#Canada",(604) 620-5226,/biz/bao-down-gastropub-raw-bar-vancouver?osq=Restaurants
250,Sorella,4.0,17,$$$,Italian,"South Cambie, Riley Park","3369 Cambie Street#Vancouver, BC V5Z 2W6#Canada",(604) 873-3131,/biz/sorella-vancouver?osq=Restaurants
251,Jitlada,4.0,87,$$,Thai,"Fairview Slopes, South Granville","1459 W Broadway#Vancouver, BC V6H 1H6#Canada",(604) 738-9888,/biz/jitlada-vancouver?osq=Restaurants
252,Fatty Papa,3.5,29,$$,Japanese#Juice Bars & Smoothies#Asian Fusion,West End,"1226 Robson Street#Vancouver, BC V6E 1C1#Canada",(778) 379-1230,/biz/fatty-papa-vancouver?osq=Restaurants
253,Gurkha Himalayan Kitchen,4.0,106,$$,Himalayan/Nepalese,West End,"1141 Davie Street#Vancouver, BC V6E 1N2#Canada",(604) 565-7965,/biz/gurkha-himalayan-kitchen-vancouver?osq=Restaurants
254,Los Amigos Taqueria,4.0,58,$,Mexican,West End,"1118 Davie Street#Vancouver, BC V6E 1N1#Canada",(604) 559-0220,/biz/los-amigos-taqueria-vancouver?osq=Restaurants
